name,label,wiki_page_obj,wiki_url,wiki_nl_views,wiki_norm_nl_views,wiki_eng_views,wiki_norm_eng_views,wiki_nr_of_edits,wiki_norm_nr_of_edits,wiki_nr_of_languages,wiki_norm_nr_of_languages,TA_name,TA_rating,TA_reviews,TA_url,wiki_coordinates
Brouwerij De Prael,Monument of Gebouw,<WikipediaPage 'Brouwerij De Prael'>,https://nl.wikipedia.org/wiki/Brouwerij_De_Prael,14875.0,0.0297320075511131,0.0,0.0,21,0.0133333333333333,2,0.1,Brouwerij de Prael,4.5,699.0,https://www.tripadvisor.nl/Restaurant_Review-g188590-d2336115-Reviews-Brouwerij_de_Prael-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiNx9rnxb71AhWYhv0HHQ6QCXEQFnoECAIQAg&usg=AOvVaw2k-DhYn0ZB5A7bKfGcfWmk,
Dam ,Monument of Gebouw,<WikipediaPage 'Dam (Amsterdam)'>,https://nl.wikipedia.org/wiki/Dam_(Amsterdam),120253.0,0.2406867268967367,329892.0,0.0351517085007715,273,0.1813333333333333,11,1.0,De Dam,4.0,15258.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d189381-Reviews-Dam_Square-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjA8Nroxb71AhXN7rsIHWzWBZoQFnoECAMQAg&usg=AOvVaw0mlVS2GnEr1NDgtTJZ3bPm,"(52.37305556, 4.89277778)"
Dappermarkt,Markt,<WikipediaPage 'Dappermarkt'>,https://nl.wikipedia.org/wiki/Dappermarkt,27442.0,0.0548897061031491,25708.0,0.0027393211176319,49,0.032,7,0.6,Dappermarkt,3.5,111.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d6213053-Reviews-Dappermarkt-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjR_f3pxb71AhXj7rsIHalIB2MQFnoECAMQAg&usg=AOvVaw01uxp86eQ_WoZ5mlupGSOv,
DeLaMar,Concertzaal of Theater,<WikipediaPage 'DeLaMar'>,https://nl.wikipedia.org/wiki/DeLaMar,57500.0,0.1150623887702215,8765.0,0.0009339563402848,112,0.074,2,0.1,DeLaMar Theater,4.0,134.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d3734511-Reviews-DeLaMar_Theater-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiT34Hrxb71AhVm8LsIHX7ABaMQFnoECAQQAg&usg=AOvVaw02LCeI3mpmJeNpkZaY6DN0,"(52.36438333, 4.88095833)"
De Duif ,Monument of Gebouw,<WikipediaPage 'De Duif (kerk)'>,https://nl.wikipedia.org/wiki/De_Duif_(kerk),24398.0,0.0487959657997833,0.0,0.0,104,0.0686666666666666,2,0.1,De Duif,4.5,3257.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190613-Reviews-De_Duif-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiD8_rrxb71AhUPgv0HHTqADlcQFnoECAoQAg&usg=AOvVaw1mMjGsQs3GDhLEcbKZ2uCY,"(52.36138889, 4.89666667)"
De Kleine Komedie,Concertzaal of Theater,<WikipediaPage 'De Kleine Komedie'>,https://nl.wikipedia.org/wiki/De_Kleine_Komedie,19117.0,0.0382240070146077,7196.0,0.0007667712292858,54,0.0353333333333333,4,0.3,De Kleine Komedie,4.0,29.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d9794387-Reviews-De_Kleine_Komedie-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjBpqftxb71AhWE_bsIHaPzCKIQFnoECAAQAg&usg=AOvVaw2gRUKQv-NC6DdyB6gdy248,"(52.36666667, 4.89611111)"
De Krijtberg,Monument of Gebouw,<WikipediaPage 'De Krijtberg'>,https://nl.wikipedia.org/wiki/De_Krijtberg,18049.0,0.0360859930054111,21717.0,0.0023140593088382,85,0.056,11,1.0,De Krijtberg - Sint Franciscus Xaveriuskerk,4.5,134.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d591171-Reviews-De_Krijtberg_Sint_Franciscus_Xaveriuskerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjk87Xuxb71AhWchP0HHWv5C_0QFnoECAUQAg&usg=AOvVaw1K3ogi3wJoO7ndTlGHRCna,"(52.36777778, 4.88805556)"
De Papegaai,Monument of Gebouw,<WikipediaPage 'De Papegaai'>,https://nl.wikipedia.org/wiki/De_Papegaai,18235.0,0.0364583437598217,12778.0,0.0013615623635094,52,0.034,5,0.4,H.H. Petrus en Pauluskerk (De Papegaai),4.0,62.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d1213896-Reviews-or5-H_H_Petrus_en_Pauluskerk_De_Papegaai-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiKjcLvxb71AhXz7rsIHWa4B_kQFnoECAgQAg&usg=AOvVaw2uPA_nkXM1jDLcEzw2NG5Y,"(52.37111111, 4.89166667)"
De Wallen,Museum,<WikipediaPage 'De Wallen'>,https://nl.wikipedia.org/wiki/De_Wallen,241874.0,0.4841580769084477,1129722.0,0.1203777552378008,346,0.23,11,1.0,Red Light District,4.0,31569.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d190584-r608435370-Red_Light_District-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwigy7vwxb71AhVY8rsIHVR-A8AQFnoECAoQAg&usg=AOvVaw3pkJp9VuYc2eo4Vz7LSy57,"(52.37416667, 4.89944444)"
Eye Filmmuseum,Museum,<WikipediaPage 'Eye Filmmuseum'>,https://nl.wikipedia.org/wiki/Eye_Filmmuseum,1025.0,0.0020058895479541,117929.0,0.0125659483460874,218,0.1446666666666666,8,0.7,EYE Film Institute Netherlands,4.0,1234.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245254-Reviews-EYE_Film_Institute_Netherlands-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiT7ovyxb71AhXegP0HHR98BKcQFnoECAUQAg&usg=AOvVaw2eVizC4nZjLoRwK98svXs4,"(52.38441111, 4.90059444)"
Engelse Hervormde Kerk ,Monument of Gebouw,<WikipediaPage 'Engelse Hervormde Kerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Engelse_Hervormde_Kerk_(Amsterdam),10790.0,0.0215543041545135,0.0,0.0,65,0.0426666666666666,5,0.4,English Reformed Church,4.0,79.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d9814461-r180248017-English_Reformed_Church-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwis153zxb71AhUl7rsIHfFEAMgQFnoECAoQAg&usg=AOvVaw3nt_yhEFoVz92vGDPUwCm1,"(52.36916667, 4.89)"
He Hua Tempel,Monument of Gebouw,<WikipediaPage 'He Hua Tempel'>,https://nl.wikipedia.org/wiki/He_Hua_Tempel,19229.0,0.0384482182215647,0.0,0.0,73,0.048,2,0.1,Fo Guang Shan,3.5,96.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d1933685-r259792605-Fo_Guang_Shan-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwimkZb0xb71AhXN8rsIHavlCUkQFnoECAMQAg&usg=AOvVaw2Q2RWLDj-M0-KN3f8Oruog,"(52.37361111, 4.9)"
Hermitage Amsterdam,Museum,<WikipediaPage 'Hermitage Amsterdam'>,https://nl.wikipedia.org/wiki/Hermitage_Amsterdam,101045.0,0.2022345049036192,121837.0,0.0129823660731648,305,0.2026666666666666,11,1.0,Hermitage Amsterdam,4.0,2373.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d310395-Reviews-Hermitage_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjB5Yr1xb71AhVp_rsIHcevAxEQFnoECAkQAg&usg=AOvVaw2hzvMZYCZoHi8uxi4Bixba,"(52.365, 4.9025)"
Grachtenmuseum Amsterdam,Museum,<WikipediaPage 'Grachtenmuseum Amsterdam'>,https://nl.wikipedia.org/wiki/Grachtenmuseum_Amsterdam,,,0.0,0.0,61,0.04,2,0.1,Grachtenmuseum Amsterdam,4.5,700.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d2187717-Reviews-Museum_of_the_Canals-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwibmMP2xb71AhVsiP0HHf7OBXsQFnoECAEQAg&usg=AOvVaw1lm0h2v878UY-u4xSsHazC,"(52.36777778, 4.88638889)"
Het Scheepvaartmuseum,Museum,<WikipediaPage 'Het Scheepvaartmuseum'>,https://nl.wikipedia.org/wiki/Het_Scheepvaartmuseum,59719.0,0.1195045733080562,,,230,0.1526666666666666,11,1.0,Het Scheepvaartmuseum,4.5,3181.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d194316-Reviews-Het_Scheepvaartmuseum_The_National_Maritime_Museum-Amsterdam_North_Holland_Provinc.html&sa=U&ved=2ahUKEwir09b3xb71AhXj7rsIHbrPBtQQFnoECAAQAg&usg=AOvVaw0dfawpiyCEm60gf8zOwmIN,"(52.37138889, 4.91472222)"
Homomonument ,Herdenkings Monument,<WikipediaPage 'Homomonument (Amsterdam)'>,https://nl.wikipedia.org/wiki/Homomonument_(Amsterdam),26124.0,0.0522512206498521,96841.0,0.0103189122589308,208,0.138,11,1.0,Homomonument,3.5,238.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d2401053-Reviews-Homomonument-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiasYv5xb71AhVA8LsIHXg3DB8QFnoECAIQAg&usg=AOvVaw0LvpcLRN0kbo5NA6p3YGu-,"(52.37447222, 4.88461111)"
Joods Museum ,Museum,<WikipediaPage 'Joods Museum (Nederland)'>,https://nl.wikipedia.org/wiki/Joods_Museum_(Nederland),,,0.0,0.0,104,0.0686666666666666,11,1.0,Joods Historisch Museum,4.5,1045.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d189396-Reviews-Joods_Historisch_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj14Yr6xb71AhUhiP0HHXmTA9EQFnoECAQQAg&usg=AOvVaw3qzOjSUv4QXjJ_xpVr13U_,"(52.3673, 4.90384444)"
Kalverpassage,Monument of Gebouw,<WikipediaPage 'Kalverpassage'>,https://nl.wikipedia.org/wiki/Kalverpassage,2307.0,0.0045723071133007,0.0,0.0,26,0.0166666666666666,3,0.2,Kalvertoren Shoppingcenter,3.5,50.0,https://www.tripadvisor.com/Attraction_Review-g188590-d6211982-Reviews-Kalvertoren_Shoppingcenter-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiSqOT7xb71AhXN8rsIHavlCUkQFnoECAkQAg&usg=AOvVaw0L5NHR91MiQgrZsmLucHNx,"(52.36743056, 4.892125)"
Kleinste huis van Amsterdam,Monument of Gebouw,<WikipediaPage 'Kleinste huis van Amsterdam'>,https://nl.wikipedia.org/wiki/Kleinste_huis_van_Amsterdam,16274.0,0.0325326457522986,0.0,0.0,28,0.018,6,0.5,Het Kleinste Huis van Amsterdam,4.5,266.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d4570596-Reviews-The_Smallest_House_in_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjds_P8xb71AhXvif0HHfFpBp8QFXoECAkQAg&usg=AOvVaw3trHDh6-v1TIcrYVjKLNPY,"(52.37111111, 4.89777778)"
Koningsplein ,Monument of Gebouw,<WikipediaPage 'Koningsplein (Amsterdam)'>,https://nl.wikipedia.org/wiki/Koningsplein_(Amsterdam),12121.0,0.0242188141229037,13513.0,0.0014398804365396,62,0.0406666666666666,7,0.6,,,,,"(52.36694444, 4.88944444)"
Koninklijk Concertgebouw,Monument of Gebouw,<WikipediaPage 'Koninklijk Concertgebouw'>,https://nl.wikipedia.org/wiki/Koninklijk_Concertgebouw,79353.0,0.1588095986419206,224763.0,0.0239496667326243,333,0.2213333333333333,11,1.0,Concertgebouw,5.0,3058.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d189383-r328833964-Concertgebouw-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwju8Zv-xb71AhWmh_0HHS1RAD8QFnoECAEQAg&usg=AOvVaw03XGqs1O1fmVI1rGTmKdG9,"(52.35623889, 4.87908889)"
Koninklijk Theater Carré,Monument of Gebouw,<WikipediaPage 'Koninklijk Theater Carré'>,https://nl.wikipedia.org/wiki/Koninklijk_Theater_Carr%C3%A9,96074.0,0.192283130709128,8777.0,0.0009352350027017,194,0.1286666666666666,7,0.6,Koninklijk Theater Carre,4.5,512.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245234-Reviews-Koninklijk_Theater_Carre-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjqlpH_xb71AhXB7rsIHTLEDC0QFnoECAAQAg&usg=AOvVaw3x89tEqCzctcUhUEAnAZQ1,"(52.36242222, 4.90427222)"
Leidseplein ,Monument of Gebouw,<WikipediaPage 'Leidseplein (Amsterdam)'>,https://nl.wikipedia.org/wiki/Leidseplein_(Amsterdam),40734.0,0.0814987718430761,95291.0,0.0101537516967583,156,0.1033333333333333,11,1.0,Leiden Square (Leidseplein),4.0,2256.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d189382-Reviews-Leiden_Square_Leidseplein-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjU6bCAxr71AhXSUOUKHfD7DL4QFnoECAgQAg&usg=AOvVaw2Dh7HggMFkMx8ZDnQvmxtE,"(52.36413333, 4.88296944)"
Lloyd Hotel ,Monument of Gebouw,<WikipediaPage 'Lloyd Hotel (hotel)'>,https://nl.wikipedia.org/wiki/Lloyd_Hotel_(hotel),23296.0,0.046589887674189,1928459.0,0.2054873371396982,89,0.0586666666666666,3,0.2,Lloyd Hotel,4.0,2541.0,https://www.tripadvisor.nl/Hotel_Review-g188590-d503506-Reviews-Lloyd_Hotel-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiDjMOBxr71AhWX87sIHU3uBKQQFnoECAUQAg&usg=AOvVaw06qnk_dN9w86ilvni1fo5M,"(52.37416667, 4.93472222)"
Magere Brug,Monument of Gebouw,<WikipediaPage 'Magere Brug'>,https://nl.wikipedia.org/wiki/Magere_Brug,45312.0,0.0906634049274416,81356.0,0.0086689049652273,130,0.086,11,1.0,Magere Brug,4.0,382.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d266830-Reviews-Magere_Brug-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjM-MKCxr71AhVoi_0HHflBCz4QFnoECAcQAg&usg=AOvVaw2p4_7eT4BYu3HiIcREBDQ3,"(52.36361111, 4.9025)"
Magna Plaza,Monument of Gebouw,<WikipediaPage 'Magna Plaza'>,https://nl.wikipedia.org/wiki/Magna_Plaza,30264.0,0.0605390277641538,44935.0,0.0047880579749801,66,0.0433333333333333,6,0.5,Magna Plaza,3.5,588.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d522573-Reviews-Magna_Plaza-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjgm-iDxr71AhUyiv0HHQuuD3QQFnoECAoQAg&usg=AOvVaw1Gi8Y_qDQPIKxK8EQA9l3G,"(52.37364722, 4.89028917)"
