name,wiki_views
Obrechtkerk,15261
Koninklijke Asscher Diamant Maatschappij,30130
Toegangshek Vondelpark ,452
Remise Lekstraat,14063
Vossius Gymnasium,55118
Lyceumbrug,2607
Huis De Pinto,23863
Gouden Leeuw ,1419
"Pakhuizen Medan, Bindjeij en Laboean",2598
De Dageraad ,25570
Conservatorium van Amsterdam,38383
Villa Lebbink,1930
Berlagebrug ,25043
Hildo Kropbrug,2565
Hortus Botanicus Amsterdam,56833
Gemeenlandshuis van Diemen,8482
